username,repo_name,stars,repo_url
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,68.5k
ccxt,ccxt,https://github.com/ccxt/ccxt,27.4k
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,20.9k
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17.8k
solana-labs,solana,https://github.com/solana-labs/solana,10.1k
askmike,gekko,https://github.com/askmike/gekko,9.9k
bbfamily,abu,https://github.com/bbfamily/abu,9.7k
dvf,blockchain,https://github.com/dvf/blockchain,7.3k
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7.2k
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6.8k
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6.4k
spesmilo,electrum,https://github.com/spesmilo/electrum,6.2k
butor,blackbird,https://github.com/butor/blackbird,5.7k
btcsuite,btcd,https://github.com/btcsuite/btcd,5.2k
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4.9k
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4.5k
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4.5k
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,4.5k
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4.3k
bisq-network,bisq,https://github.com/bisq-network/bisq,4.2k
